task_id	soc_code	task	is_manual	rationale
10062	51-3091.00	Observe flow of materials and listen for machine malfunctions, such as jamming or spillage, and notify supervisors if corrective actions fail.	True	Primary execution requires physical presence at work site to observe material flow and listen for machine malfunctions in real-time.
10297	51-4192.00	Lay out and fabricate metal structural parts such as plates, bulkheads, and frames.	True	Task requires physical manipulation of metal materials, operation of fabrication tools/machinery, and hands-on construction of structural components.
10312	51-4193.00	Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces.	True	Setting up, operating, and tending plating/coating machines requires hands-on operation of physical equipment and machinery to execute the coating process.
10349	51-4194.00	Monitor machine operations to determine whether adjustments are necessary, stopping machines when problems occur.	True	Requires physical operation of machinery—monitoring equipment, making mechanical adjustments, and operating shutdown controls.
10405	51-5111.00	Operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film.	True	Involves operating and maintaining physical laser equipment—direct hands-on manipulation and operation of machinery.
10675	53-4013.00	Inspect track for defects such as broken rails and switch malfunctions.	True	Physical inspection of rails and switches requires being on-site, examining and touching track infrastructure for visible and tactile defects.
10726	53-6031.00	Test and charge batteries.	True	Physical manipulation and operation of batteries and charging equipment required.
11356	43-5052.00	Report any unusual circumstances concerning mail delivery, including the condition of street letter boxes.	True	Requires physical inspection of letter boxes and street conditions; involves observing and assessing tangible objects on-site.
11433	47-1011.00	Provide assistance to workers engaged in construction or extraction activities, using hand tools or other equipment.	True	Assisting with construction/extraction using hand tools requires direct physical manipulation and operation of equipment at work sites.
11508	47-2121.00	Assemble and cement sections of stained glass together.	True	Assembling and cementing glass sections requires physical manipulation of tangible objects and hands-on craftsmanship.
11518	47-2141.00	Remove fixtures such as pictures, door knobs, lamps, or electric switch covers prior to painting.	True	Removing fixtures requires physical manipulation of tangible objects like pictures, doorknobs, and lamps.
11591	47-4041.00	Remove asbestos or lead from surfaces, using hand or power tools such as scrapers, vacuums, or high-pressure sprayers.	True	Primary execution requires physical operation of hand/power tools (scrapers, vacuums, sprayers) and manipulation of contaminated surfaces.
11660	49-2022.00	Assemble and install communication equipment such as data and telephone communication lines, wiring, switching equipment, wiring frames, power apparatus, computer systems, and networks.	True	Task requires physical manipulation of equipment, wiring, and systems installation—hands-on assembly and operational work.
11683	49-2022.00	Clean switches and replace contact points, using vacuum hoses, solvents, and hand tools.	True	Task requires physical manipulation of equipment, use of hand tools, solvents, and vacuum hoses to clean and repair switches—hands-on mechanical work.
11721	49-2092.00	Test battery charges, and replace or recharge batteries as necessary.	True	Requires physical manipulation of batteries—testing, replacing, and recharging them involves tangible object handling.
11782	49-9012.00	Lubricate wearing surfaces of mechanical parts, using oils or other lubricants.	True	Requires physical manipulation of mechanical parts and application of lubricants using tools or hands.
11795	49-9012.00	Trace and tag meters or house lines.	True	Tracing and tagging meters requires physical presence on-site to locate, inspect, mark, and label utility lines and meters in the field.
11797	49-9012.00	Vary air pressure flowing into regulators and turn handles to assess functioning of valves and pistons.	True	Physically manipulating equipment (turning handles) and operating machinery (varying air pressure in regulators) to test valve and piston functionality.
11906	51-2021.00	Cut, strip, and bend wire leads at ends of coils, using pliers and wire scrapers.	True	Task requires physical manipulation of wire using hand tools (pliers, scrapers) to cut, strip, and bend materials.
12056	51-4071.00	Tend machines that bond cope and drag together to form completed shell molds.	True	Operating machines that physically bond shell mold components together requires hands-on machinery operation and physical oversight at the work site.
12242	51-7032.00	Select lumber to be used for patterns.	True	Selecting lumber involves physically examining and manipulating wood materials to choose appropriate pieces for use in patterns.
12440	51-9032.00	Tighten pulleys or add abrasives to maintain cutting speeds.	True	Tightening pulleys and adding abrasives require physical manipulation of equipment parts to maintain machinery.
12493	51-9061.00	Grade, classify, or sort products according to sizes, weights, colors, or other specifications.	True	Grading and sorting products requires physical handling, inspection, and manipulation of tangible items based on visible specifications.
