task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
10062	51-3091.00	Observe flow of materials and listen for machine malfunctions, such as jamming or spillage, and notify supervisors if corrective actions fail.	inspection	30.0	One instance = a single monitoring patrol/shift segment; a competent worker continuously observes material flow and listens for malfunctions, reporting issues roughly every 30-minute cycle.	22.0	Current humanoids can monitor via cameras/mics and detect obvious anomalies, but reliably distinguishing subtle jamming sounds, assessing spillage severity, and escalating to supervisors through workplace communication systems remain significant challenges.
10297	51-4192.00	Lay out and fabricate metal structural parts such as plates, bulkheads, and frames.	fabrication	120.0	One instance = laying out and fabricating a single structural metal part (e.g., a frame or bulkhead). A competent metalworker typically takes 1–3 hours depending on complexity; 120 min is a reasonable median.	3.0	Requires precise layout/measurement, operating grinders, plasma cutters, welders, and bending equipment on large heavy stock. No current general-purpose humanoid has the dexterity, tool-use breadth, or planning to execute this fabrication workflow autonomously at acceptable quality.
10312	51-4193.00	Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces.	assembly	45.0	One instance = setting up and running a single plating/coating batch. Includes machine setup, loading parts, monitoring process, and unloading. Typical batch cycle is 30–60 min.	8.0	Requires operating specialized industrial chemical machinery, monitoring bath chemistry, adjusting parameters, and handling hazardous liquids. Current humanoids lack the tool interfacing, process sensing, and chemical handling capability for this complex multi-step industrial workflow.
10349	51-4194.00	Monitor machine operations to determine whether adjustments are necessary, stopping machines when problems occur.	inspection	20.0	One instance = a single monitoring cycle on one machine: observe, assess status, decide to adjust or stop. Operators typically do this every 15–30 min per machine.	22.0	Robots can use cameras/sensors for basic anomaly detection, but interpreting subtle machine states, making nuanced adjustment decisions, and physically intervening (e.g., controls, emergency stops) in unstructured factory environments remains unreliable for general-purpose humanoids.
10405	51-5111.00	Operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film.	inspection	45.0	One instance = processing one plate job: loading media, configuring settings from electronic data, running the laser platesetter, inspecting output, and performing routine maintenance checks.	4.0	Requires operating highly specialized CTP (computer-to-plate) industrial equipment with complex digital interfaces, fine media handling, software configuration, and quality inspection. Current humanoid robots lack the software integration, specialized tool-use, and domain perception needed.
10675	53-4013.00	Inspect track for defects such as broken rails and switch malfunctions.	inspection	60.0	One instance = inspecting a ~1-mile track segment. Inspector walks/rides checking rails, joints, fasteners, and switches; ~60 min is a standard unit of measurement.	12.0	Requires locomotion over uneven ballast/rail terrain (poor for humanoids), specialized perception (ultrasonic, visual crack detection), and switch function testing. Outdoor unstructured environment with safety-critical accuracy demands far exceeds current robot generalization.
10726	53-6031.00	Test and charge batteries.	inspection	20.0	One instance = one battery. Connecting to tester, reading output, attaching to charger, and confirming charge cycle started takes ~20 min including brief monitoring.	18.0	Requires precise connector alignment, reading displays/meters, and interpreting variable battery types. Perception and fine dexterity for small terminals and varied connectors is challenging; generalization across battery types further limits success.
11356	43-5052.00	Report any unusual circumstances concerning mail delivery, including the condition of street letter boxes.	inspection	8.0	One instance = reporting on one mail route segment, including walking the route, observing mailboxes, and logging/noting any anomalies. Typical urban block takes ~8 min.	18.0	Requires outdoor locomotion on uneven sidewalks (~40%), reading handwritten/printed labels, assessing physical condition of varied mailbox types, and generating a coherent report—all combined push success low.
11433	47-1011.00	Provide assistance to workers engaged in construction or extraction activities, using hand tools or other equipment.	construction	45.0	One instance = one shift's worth of assistance tasks (fetching tools, moving materials, holding components). A competent helper completes a meaningful unit of support work in ~45 min.	12.0	Outdoor/uneven terrain, unstructured environments, heavy/bulky tool handling, and real-time coordination with human workers are major barriers. Current humanoids lack robust outdoor mobility and generalized tool-use for jobsite chaos.
11508	47-2121.00	Assemble and cement sections of stained glass together.	assembly	120.0	One instance = one standard stained glass panel (~30–50 pieces). A skilled glazier spends ~2 hours cutting, fitting, leading/soldering, and cementing.	2.0	Requires extreme fine dexterity to handle fragile, irregular glass shards, precise lead/solder work, and force-sensitive cementing. Far beyond current humanoid robot manipulation capabilities; high breakage and alignment failure risk.
