task_id	soc_code	task	is_manual	rationale
10000	49-3043.00	Examine car roofs for wear and damage, and repair defective sections, using roofing material, cement, nails, and waterproof paint.	True	Requires physical inspection of car roofs and hands-on repair work using tools and materials like cement, nails, and paint.
10001	49-3043.00	Paint car exteriors, interiors, and fixtures.	True	Painting involves physical manipulation of tools and materials, direct application to tangible surfaces requiring hands-on execution.
10002	49-3043.00	Repair car upholstery.	True	Requires physical manipulation of upholstery materials, tools like needles, thread, and potentially sewing machines or adhesives to repair car interior.
10003	49-3043.00	Repair window sash frames, attach weather stripping and channels to frames, and replace window glass, using hand tools.	True	Task requires physical manipulation of window components, hand tools, and installation work on tangible objects.
10004	49-3092.00	Examine or test operation of parts or systems to ensure completeness of repairs.	True	Examining and testing parts/systems requires hands-on physical inspection and operation of equipment to verify repairs are complete.
10005	49-3092.00	Repair plumbing or propane gas lines, using caulking compounds and plastic or copper pipe.	True	Involves physical manipulation of pipes, tools, and materials to repair plumbing/gas systems.
10006	49-3092.00	Inspect recreational vehicles to diagnose problems and perform necessary adjustment, repair, or overhaul.	True	Physical inspection, diagnosis, adjustment, repair, and overhaul of recreational vehicles requires hands-on manipulation and operation of tools.
10007	49-3092.00	Locate and repair frayed wiring, broken connections, or incorrect wiring, using ohmmeters, soldering irons, tape, or hand tools.	True	Task requires physical manipulation of wiring and hands-on use of tools (soldering irons, ohmmeters, tape, hand tools) to repair electrical connections.
10008	49-3092.00	Confer with customers, read work orders, or examine vehicles needing repair to determine the nature and extent of damage.	True	Examining vehicles requires physical inspection—touching, looking at damage firsthand. Not desk review.
10010	49-3092.00	Connect electrical systems to outside power sources, and activate switches to test the operation of appliances or light fixtures.	True	Task involves physical operation of electrical systems, connecting cables, and manipulating switches—hands-on technical work requiring physical presence and interaction.
10011	49-3092.00	Connect water hoses to inlet pipes of plumbing systems, and test operation of toilets or sinks.	True	Requires physical manipulation of hoses and pipes, hands-on testing of plumbing fixtures; direct tangible object handling.
10012	49-3092.00	Remove damaged exterior panels, and repair and replace structural frame members.	True	Physical manipulation of panels and structural frame members; removal, repair, and replacement require hands-on work with tools.
10013	49-3092.00	Open and close doors, windows, or drawers to test their operation, trimming edges to fit, as necessary.	True	Requires physical manipulation of doors, windows, and drawers; involves hands-on testing and trimming with tools to achieve proper fit and operation.
10014	49-3092.00	Repair leaks with caulking compound or replace pipes, using pipe wrenches.	True	Task involves physical manipulation of tools (pipe wrenches) and materials (caulking compound, pipes) to repair water system infrastructure.
10015	49-3092.00	Refinish wood surfaces on cabinets, doors, moldings, or floors, using power sanders, putty, spray equipment, brushes, paints, or varnishes.	True	Physical manipulation of tools (sanders, spray equipment, brushes) and materials to refinish surfaces. Requires hands-on execution with tangible objects and equipment operation.
10016	49-3092.00	Reset hardware, using chisels, mallets, and screwdrivers.	True	Resetting hardware requires physical manipulation of tools (chisels, mallets, screwdrivers) and hands-on work with tangible objects.
10017	49-3092.00	Seal open sides of modular units to prepare them for shipment, using polyethylene sheets, nails, and hammers.	True	Task requires physical manipulation of materials (polyethylene sheets, nails) and operation of tools (hammers) to seal modular units.
10018	51-2022.00	Inspect or test wiring installations, assemblies, or circuits for resistance factors or for operation, and record results.	True	Inspecting and testing wiring requires hands-on physical interaction with electrical installations, use of testing tools/meters, and direct examination of circuits.
10019	51-2022.00	Assemble electrical or electronic systems or support structures and install components, units, subassemblies, wiring, or assembly casings, using rivets, bolts, soldering or micro-welding equipment.	True	Task requires physical manipulation of components, operation of soldering/welding equipment, and hands-on assembly work.
10020	51-2022.00	Adjust, repair, or replace electrical or electronic components to correct defects and to ensure conformance to specifications.	True	Repairing and replacing electrical/electronic components requires physical manipulation of tangible objects and tools to correct defects.
10021	51-2022.00	Clean parts, using cleaning solutions, air hoses, and cloths.	True	Physical manipulation of parts using tools (air hoses, cloths) and cleaning solutions; hands-on cleaning work.
10023	51-2022.00	Mark and tag components so that stock inventory can be tracked and identified.	True	Marking and tagging components requires physical manipulation of objects and labels to identify and track inventory.
10024	51-2022.00	Position, align, or adjust workpieces or electrical parts to facilitate wiring or assembly.	True	Positioning, aligning, and adjusting workpieces requires direct physical manipulation of tangible objects and parts.
10025	51-2022.00	Pack finished assemblies for shipment, and transport them to storage areas, using hoists or handtrucks.	True	Task involves physical packing, lifting, and operating equipment (hoists/handtrucks) to move tangible finished products.
10028	51-2022.00	Measure and adjust voltages to specified values to determine operational accuracy of instruments.	True	Requires physical manipulation of test equipment and instruments to measure and adjust voltages; hands-on technical work.
10029	51-2022.00	Fabricate or form parts, coils, or structures according to specifications, using drills, calipers, cutters, or saws.	True	Fabricating and forming parts requires operating physical tools (drills, cutters, saws) and manipulating tangible objects according to specifications.
10030	51-2022.00	Drill or tap holes in specified equipment locations to mount control units or to provide openings for elements, wiring, or instruments.	True	Task requires operating physical tools (drill, tap) to physically manipulate equipment. Hands-on execution with machinery is primary work.
10034	51-2022.00	Distribute materials, supplies, or subassemblies to work areas.	True	Task requires physically handling and moving materials, supplies, or subassemblies to designated work areas.
10035	51-2041.00	Position, align, fit, and weld parts to form complete units or subunits, following blueprints and layout specifications, and using jigs, welding torches, and hand tools.	True	Task requires physical manipulation of parts, operation of welding torches and hand tools, and hands-on assembly work.
10036	51-2041.00	Verify conformance of workpieces to specifications, using squares, rulers, and measuring tapes.	True	Physical inspection using tangible measuring tools (squares, rulers, measuring tapes) to examine and verify workpieces requires hands-on manipulation and physical presence.
10037	51-2041.00	Tack-weld fitted parts together.	True	Tack-welding requires operating welding equipment and physically manipulating metal parts together—direct manual execution.
