task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
10062	51-3091.00	Observe flow of materials and listen for machine malfunctions, such as jamming or spillage, and notify supervisors if corrective actions fail.	inspection	5.0	Continuous monitoring task; time represents typical intervention interval when anomaly is detected and reported to supervisor.	35.0	"Robots can monitor via vision/audio sensors and detect jamming/spillage patterns; limited by: real-time anomaly classification robustness, judging when corrective actions have ""failed"" (requires contextual reasoning), and safe decision-making about escalation thresholds."
10297	51-4192.00	Lay out and fabricate metal structural parts such as plates, bulkheads, and frames.	fabrication	180.0	Laying out and fabricating a single structural part (plate, bulkhead, or frame) including measurement, cutting, welding, and finishing: approximately 3 hours for a competent fabricator.	15.0	Requires precision measurement, marking, oxy-fuel/arc welding, metal cutting (torch, plasma, shear), heavy material handling, and quality inspection. Robots lack safe arc-welding capability, precise layout on varied stock, and adaptive problem-solving for warping/defects.
10312	51-4193.00	Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces.	heavy machinery / industrial operation	45.0	Setting up and operating an electroplating machine: loading parts into racks, adjusting bath chemistry/temperature, monitoring plating cycles, unloading and inspection. One instance = one batch/job cycle.	12.0	Requires operating specialized heavy machinery with precise chemical/temperature control, hazardous liquid handling (toxic metal salts, acids), safety interlocks, and real-time monitoring. Limited humanoid dexterity and chemical handling capability. Task-specific automation exists but not general-purpose robots.
10349	51-4194.00	Monitor machine operations to determine whether adjustments are necessary, stopping machines when problems occur.	inspection & monitoring	15.0	One instance = monitoring a machine during one operational cycle or shift period, detecting a problem, and stopping it. Typical 10–20 min depending on machine complexity and problem type.	35.0	Robots can perceive some visual/auditory anomalies and execute stop commands, but struggle with: diagnosis nuance, unpredictable failure modes, fast reactions to safety-critical events, and generalizing across diverse equipment designs.
10405	51-5111.00	Operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film.	heavy machinery operation	45.0	One instance = setup, load substrate, run plate-making cycle, unload finished plate. Typical cycle 20–30 min plus setup/teardown.	8.0	Requires precise substrate alignment, real-time laser parameter tuning, quality inspection, and troubleshooting. Current robots lack the fine optical alignment, industrial-environment perception, and deep domain expertise needed for reliable operation and maintenance.
10675	53-4013.00	Inspect track for defects such as broken rails and switch malfunctions.	inspection	45.0	Inspection of a typical 1–2 km track section, including visual checks and testing switch mechanisms. One instance = one assigned section.	25.0	Robots can navigate flat rails and perform basic visual inspection, but identifying defects (hairline cracks, wear, alignment issues) requires fine perception. Testing switches requires dexterity and understanding of mechanical resistance. Safety-critical task demands high reliability. Outdoor environment and variable lighting add challenges.
10726	53-6031.00	Test and charge batteries.	maintenance	15.0	Testing a battery (voltage check, load test) and charging takes 10–20 min per unit depending on charger type and battery capacity. One instance = one battery.	35.0	Robots can locate and grasp batteries, but safe charging requires precise connector alignment, understanding of polarity/safety interlocks, and ability to interpret test readings (voltmeter, load tester). Risk of fire/injury if mishandled limits autonomy.
11356	43-5052.00	Report any unusual circumstances concerning mail delivery, including the condition of street letter boxes.	inspection	45.0	One instance = inspecting and reporting on mail delivery issues and condition of letter boxes for a typical residential block or mail route segment.	35.0	"Requires mobile navigation, identifying mailbox damage/vandalism, assessing mail condition, and generating reports. Robot can traverse sidewalks and detect visual anomalies, but struggles with nuanced condition assessment, judgment of ""unusual,"" and accessing recessed/elevated boxes."
11433	47-1011.00	Provide assistance to workers engaged in construction or extraction activities, using hand tools or other equipment.	construction assistance	480.0	One instance = one 8-hour work day assisting on a construction or extraction site. Includes material handling, tool passing, setup/breakdown, and basic labor tasks.	25.0	Limited by: unstructured sites, hazard navigation, varied terrain (rough/muddy), heavy load-bearing, unpredictable task sequencing, site-specific tool adaptation. Humanoids lack strength and reliability in outdoor/dusty conditions. Perception of hazards (falling objects, excavation) inadequate.
11508	47-2121.00	Assemble and cement sections of stained glass together.	assembly	45.0	Assembling and cementing a typical stained glass panel (~1–2 sq ft) with 8–15 pieces, including layout, alignment, and cure time monitoring.	12.0	Requires precise alignment of fragile glass pieces, controlled cement application, and fine manipulation. Current robots lack dexterity, force control, and visual feedback precision needed for glass assembly without breakage.
