task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
7493	19-1012.00	Demonstrate products to clients.	manipulation	30.0	One instance = a single product demonstration to a client group, typically 20–40 minutes including setup, live demo, and Q&A.	4.0	Requires natural language persuasion, dynamic social interaction, reading client reactions, adapting messaging, and handling unpredictable questions — far beyond current robot communication and social cognition capabilities.
13498	45-4021.00	Load logs or wood onto trucks, trailers, or railroad cars, by hand or using loaders or winches.	loading/unloading	45.0	One instance = loading a full truck/trailer/railcar with logs. A competent worker using equipment typically takes 30–60 minutes depending on load size and method.	4.0	Requires operating heavy log loaders, winches, or vehicles in unstructured outdoor/industrial environments. Humanoid robots cannot operate this specialized heavy machinery, handle massive irregular logs, or navigate rough logging terrain safely.
7174	53-7081.00	Drive trucks, following established routes, through residential streets or alleys or through business or industrial areas.	vehicle operation	90.0	One instance = one route/shift segment. A typical residential/commercial delivery or service truck route takes ~1–2 hours of driving time.	3.0	Humanoid robots cannot physically operate a truck in traffic. L4 AVs exist but are narrow-domain systems, not general-purpose humanoid robots. Unstructured residential/alley/industrial routes add further complexity beyond any current deployment.
7148	51-9081.00	Rebuild or replace linings, wire sections, or missing teeth to repair dentures.	manipulation	45.0	One denture repair instance (e.g., relining, wire adjustment, or tooth replacement) by a dental lab technician; typically 30–60 min depending on complexity.	2.0	Requires extreme fine dexterity, dental-specific tool use (trimmers, curing lights, articulator), precise material application on a small irregular object, and expert judgment — far beyond current humanoid robot capability.
207	19-1032.00	Perform inspections of forests or forest nurseries.	inspection	120.0	One instance = inspecting a single forest plot or nursery section. A competent forester typically takes 1–2 hours to survey, assess health, document findings, and note hazards.	4.0	Forests are highly unstructured outdoor terrain with dense vegetation, slopes, mud, and fallen debris. Current humanoid robots lack the robust outdoor locomotion, botanical perception, and domain-specific judgment needed. Success probability is very low.
20744	19-3093.00	Conserve and preserve manuscripts, records, and other artifacts.	inspection	90.0	One instance = conserving/preserving a single artifact (e.g., one manuscript). A competent conservator spends ~60–120 min on assessment, cleaning, stabilization, and housing.	3.0	Requires extreme fine dexterity, expert material judgment, delicate chemical treatment, and nuanced tactile/visual perception far beyond current humanoid capability. Risk of irreversible damage is unacceptably high.
7165	53-6011.00	Stop automobile and pedestrian traffic on bridges, and lower automobile gates prior to moving bridges.	vehicle operation	5.0	One instance = one bridge opening event. A tender activates signals, lowers gates, and confirms traffic/pedestrian clearance before initiating the bridge move; ~5 min total.	6.0	Requires operating specialized bridge control panels, verifying clearance of traffic and pedestrians across a wide area, and coordinating with marine/road traffic — far beyond current humanoid robot generalization, perception range, and certified authority to act.
7659	27-2011.00	Dress in comical clown costumes and makeup, and perform comedy routines to entertain audiences.	caregiving	60.0	One instance = one clown performance set, including costume/makeup and a typical comedy routine for an audience, estimated at ~60 minutes total.	1.0	Requires applying elaborate makeup, dressing in costume, improvising social/comedic timing, audience reading, physical comedy, and emotional expression — far beyond any 2026 robot's generalization, social intelligence, or fine dexterous makeup application.
20797	47-4041.00	Prepare hazardous material for removal or storage.	inspection	45.0	One instance = preparing a single batch/container of hazardous material (donning PPE, identifying, labeling, packaging, and securing it per regulatory standards).	4.0	Requires regulatory compliance judgment, fine dexterous handling of hazmat containers/seals, PPE donning, chemical identification, and safety-critical decision-making in unstructured environments — far beyond current robot generalization and reliability.
20672	49-9071.00	Repair machines, equipment, or structures, using tools such as hammers, hoists, saws, drills, wrenches, or equipment such as precision measuring instruments or electrical or electronic testing devices.	manipulation	60.0	One repair instance on a typical machine/equipment/structure; competent maintenance worker averages ~1 hour including diagnosis, tool use, and verification.	5.0	Requires identifying faults, selecting correct tools, applying precise force with hammers/drills/wrenches, interpreting test instruments, and adapting to unpredictable failure modes — far beyond current general-purpose robot generalization and dexterous tool-use.
13524	47-2081.00	Apply cement to backs of tiles and press tiles into place, aligning them with layout marks or joints of previously laid tile.	assembly	3.0	One instance = applying cement to one tile and pressing it into place. A skilled tiler does this in ~2–4 minutes including alignment checks.	8.0	Requires precise trowel cement application, controlled pressure, fine spatial alignment to joints/marks, and tactile feedback on uneven surfaces. Current humanoids lack the dexterity, force control, and perception precision for reliable tile setting.
7248	13-1032.00	Examine damaged vehicle to determine extent of structural, body, mechanical, electrical, or interior damage.	inspection	45.0	One instance = inspecting one damaged vehicle end-to-end; a competent auto damage appraiser typically spends 30–60 minutes assessing all systems.	4.0	Requires expert multi-domain diagnosis (structural, mechanical, electrical, interior), flexible navigation around/under a vehicle, nuanced visual/tactile judgment of damage severity, and professional-grade reporting. Far beyond current robot generalization and diagnostic reasoning capabilities.
7507	19-1031.02	Plan and implement revegetation of disturbed sites.	inspection	480.0	One instance = planning and implementing revegetation for one disturbed site (~0.5–1 acre). Includes site assessment, species selection, soil prep, seeding/planting. A full day's work for a competent restoration specialist.	3.0	Requires expert ecological judgment, site-specific planning, irregular outdoor terrain, tool use (tilling, seeding equipment), and multi-step planting. Far beyond 2026 general-purpose humanoid capabilities in unstructured outdoor environments.
7150	53-6011.00	Move levers to activate traffic signals, navigation lights, and alarms.	manipulation	1.0	One instance = moving a single lever to activate one signal/light/alarm. A competent worker locates and throws the lever in under a minute.	35.0	Humanoids can grasp and pull levers in structured settings, but arbitrary lever types, orientations, required force profiles, and correct identification of the right lever in a real control panel reduce reliability significantly.
