task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
5113	39-3031.00	Give door checks to patrons who are temporarily leaving establishments.	manipulation	0.5	One instance = handing a single door check (stamp, wristband, or ticket) to one patron. A competent human completes this in ~30 seconds.	25.0	Requires navigating a crowded, dynamic social environment, locating a patron's hand, and precisely placing/stamping a small token. Dexterity with tiny items and social interaction cues remain challenging for 2026 humanoids.
12706	51-9198.00	Place products in equipment or on work surfaces for further processing, inspecting, or wrapping.	manipulation	1.5	One instance = placing a single product on a surface or into equipment. A competent worker does this in roughly 1–2 minutes including positioning and alignment.	62.0	Pick-and-place of common objects on tidy surfaces is a core robot strength (~70–90%), but varied product shapes, precise placement targets, and integration with moving equipment or conveyors reduce reliability somewhat.
14045	51-6021.00	Position materials such as cloth garments, felt, or straw on tables, dies, or feeding mechanisms of pressing machines, or on ironing boards or work tables.	manipulation	1.5	One instance = positioning a single garment or material piece on a pressing machine, die, or ironing board. A skilled worker does this in ~1–2 minutes per item.	18.0	Soft, deformable textiles (cloth, felt, straw) are notoriously hard for robots to handle and precisely align. Perception of floppy materials, fine repositioning, and alignment to dies or feeding mechanisms exceeds current general-purpose robot dexterity reliably.
17874	53-7062.04	Deposit recoverable materials into chutes or place materials on conveyor belts.	manipulation	1.5	One instance = depositing a single item/batch into a chute or onto a conveyor belt. A competent worker grabs, moves, and releases material in ~1–2 minutes per cycle.	55.0	Structured pick-and-place onto a conveyor or into a chute is within current humanoid capability, but variable material shapes, weights, and cluttered environments reduce reliability. Perception and grasp generalization are the main bottlenecks.
23879	53-7065.00	Stamp, attach, or change price tags on merchandise, referring to price list.	manipulation	1.5	One instance = stamping/attaching/changing one price tag on one item. A competent worker can locate the price, apply or swap a tag in ~1–2 minutes.	22.0	Requires fine dexterity to handle small tags/stickers, read a price list, and precisely place labels on varied merchandise. Current humanoids struggle with small object manipulation, tag tools, and cross-referencing printed/digital lists reliably.
12644	51-9195.04	Spray or swab molds with oil solutions to prevent adhesion of glass.	manipulation	2.0	One instance = applying oil solution to one mold. A skilled worker sprays or swabs a single mold in ~1–3 minutes.	28.0	Requires navigating a hot industrial environment, holding a spray/swab tool, and achieving full even coverage of complex mold geometry. Uneven application is a quality failure; dexterity, tool-use generalization, and thermal-environment safety all limit current robots.
12750	53-4011.00	Monitor gauges or meters that measure speed, amperage, battery charge, or air pressure in brake lines or in main reservoirs.	inspection	2.0	One instance = a single monitoring check/scan of the gauge panel (speed, amperage, brake pressure, battery). A competent operator glances and reads all meters in ~1–2 minutes.	20.0	Reading analog/digital gauges via vision is feasible (~50–70%), but this task is embedded in operating a vehicle or large machinery (train, truck, industrial equipment) that a humanoid cannot drive or control, severely limiting autonomous success.
14202	51-6064.00	Observe bobbins as they are winding and cut threads to remove loaded bobbins, using knives.	manipulation	2.0	One instance = monitoring one bobbin until full, cutting the thread with a knife, and removing it. Experienced textile workers complete this in roughly 1–3 minutes per bobbin.	8.0	Requires precise visual detection of bobbin fullness, fine dexterous knife use on thin threads, and coordinated removal — all in a dynamic, fast-moving textile machine environment. Current robots lack the fine perception and manipulation reliability needed.
17594	35-3023.01	Wrap, label, or date food items for sale.	food prep	2.0	One instance = wrapping, labeling, or dating a single food item. A competent worker completes this in ~1–3 minutes including material handling.	18.0	Requires fine dexterity (handling wrap/labels, applying stickers neatly), perception of varied food shapes, and tool use. Current humanoids lack reliable label application and compliant wrapping on irregular food items.
17872	53-7062.04	Sort materials, such as metals, glass, wood, paper or plastics, into appropriate containers for recycling.	manipulation	2.0	One instance = sorting a single item or small batch (~5–10 items) into correct recycling bins; a competent worker takes ~1–3 minutes per batch.	42.0	Robots can grasp and place common recyclables, but material classification across diverse/dirty/irregular items (crumpled paper, mixed plastics, wet glass) requires robust perception and generalization. Bin navigation and grasping varied shapes add challenge.
