task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
14128	51-6061.00	Examine and feel products to identify defects and variations from coloring and other processing standards.	inspection	1.5	One instance = inspecting a single product unit by hand and eye. A trained inspector typically spends 30–90 seconds examining, touching, and judging one item against color/processing standards.	22.0	"Vision-based defect detection is mature, but combining tactile ""feel"" (texture, firmness, surface anomalies) with nuanced color judgment across varied product types strains current robot tactile sensing and generalization. High false-positive/negative risk on subtle defects."
23879	53-7065.00	Stamp, attach, or change price tags on merchandise, referring to price list.	manipulation	1.5	One instance = stamping/attaching/changing one price tag on one item. A competent worker can locate the price, apply or swap a tag in ~1–2 minutes.	22.0	Requires fine dexterity to handle small tags/stickers, read a price list, and precisely place labels on varied merchandise. Current humanoids struggle with small object manipulation, tag tools, and cross-referencing printed/digital lists reliably.
12134	51-6011.00	Spread soiled articles on work tables, and position stained portions over vacuum heads or on marble slabs.	manipulation	2.0	One instance = spreading and positioning one soiled garment on a work table over a vacuum head or marble slab; a skilled worker takes ~1–3 minutes per article.	18.0	Requires grasping limp, varied fabric articles, precisely aligning stained areas over specific targets (vacuum heads/slab). Cloth manipulation and precise stain-to-target alignment exceed current robot dexterity and perception reliability; unstructured garment handling remains a key frontier weakness.
12159	51-6031.00	Cut excess material or thread from finished products.	manipulation	2.0	One instance = trimming excess thread/material from a single finished product. A skilled worker uses scissors or snips to trim all loose threads in roughly 1–3 minutes.	12.0	Requires precise detection of fine threads against varied fabric backgrounds, dexterous pinching/cutting with scissors or snips, and avoiding cutting the product itself. Current robots lack the fine perception and dexterity for reliable thread trimming.
23588	51-4121.00	Ignite torches or start power supplies and strike arcs by touching electrodes to metals being welded, completing electrical circuits.	assembly	2.0	One instance = igniting a torch/power supply and striking an arc on a single workpiece. A skilled welder does this in ~1–3 minutes including setup checks.	10.0	Striking a welding arc requires precise electrode-to-metal contact, fine dexterity, high-temperature tool handling, and real-time feedback. Current humanoids lack reliable fine manipulation and welding-specific perception for autonomous arc initiation.
8016	39-3012.00	Exchange paper currency for playing chips or coins.	manipulation	2.0	One instance = exchanging one customer's cash for chips/coins. A cashier or cage worker counts bills, calculates denominations, and hands over chips/coins in ~1–3 minutes.	8.0	Requires counting/handling flimsy paper currency, recognizing denominations, dispensing exact chip/coin values, and social interaction. Current robots lack reliable fine manipulation of paper bills and real-time currency recognition at acceptable accuracy.
10224	51-4081.00	Align layout marks with dies or blades.	assembly	3.0	One instance = aligning a single die or blade to layout marks. A skilled worker visually positions and registers the tool to marks in ~2–4 minutes.	18.0	Requires precise visual perception of fine layout marks and sub-millimeter alignment of sharp/heavy tooling. Current humanoids lack the fine dexterity, force feedback, and specialized perception needed for reliable, safe registration to tight tolerances.
10896	17-3024.00	Inspect parts for surface defects.	inspection	3.0	One instance = inspecting a single part for surface defects. A competent worker visually examines all surfaces, taking ~2–4 minutes per part.	35.0	Frontier humanoids can use cameras for basic visual inspection, but detecting subtle surface defects (scratches, pits, discoloration) across varied part geometries requires fine perception, controlled lighting, and reliable defect classification—still unreliable in unstructured settings.
11309	43-5041.00	Read electric, gas, water, or steam consumption meters and enter data in route books or hand-held computers.	inspection	3.0	One instance = reading a single utility meter and logging the value. A competent meter reader typically handles one meter in ~2–4 minutes including walking to it, reading the display, and entering data.	12.0	Requires outdoor/indoor navigation to varied meter locations, visually reading analog or digital gauges in variable lighting, and accurately entering data. Current humanoids struggle with unstructured outdoor terrain, precise gauge reading, and data-entry on handheld devices.
12104	51-4191.00	Examine parts to ensure metal shades and colors conform to specifications, using knowledge of metal heat-treating.	inspection	3.0	One instance = inspecting a single part for color/shade conformance. A skilled heat-treat inspector visually assesses and judges a part in ~2–4 minutes.	20.0	Color/shade perception via cameras is feasible, but distinguishing subtle metal heat-treat color variations (e.g., temper colors, oxide layers) with sufficient accuracy and domain-specific judgment is well beyond current robot reliability. Lighting sensitivity and lack of heat-treat expertise further limit success.
12508	51-9124.00	Turn dials, handwheels, valves, or switches to regulate conveyor speeds, machine temperature, air pressure and circulation, and the flow or spray of coatings or paints.	manipulation	3.0	One instance = adjusting a single control (dial, valve, switch) to reach a target setting; a competent operator locates and turns it in ~1–5 minutes including reading gauges.	28.0	Robots can turn knobs/valves in structured settings but struggle with varied control types (handwheels, small dials, toggle switches), reading analog gauges for feedback, and fine torque control needed to hit precise setpoints reliably.
13489	45-4021.00	Assess logs after cutting to ensure that the quality and length are correct.	inspection	3.0	One instance = inspecting a single cut log. A worker visually checks dimensions and quality (knots, splits, defects) in ~2–4 minutes.	35.0	Vision-based length measurement and basic defect detection are feasible, but assessing wood quality nuances (grain, internal splits, moisture, subtle defects) requires expert tactile/visual judgment that current robots lack in unstructured outdoor/mill environments.
13531	47-2082.00	Press paper tape over joints to embed tape into sealing compound and to seal joints.	assembly	3.0	One instance = taping one drywall joint (~4–6 ft). A skilled taper applies compound, presses tape, and smooths it in about 2–4 minutes per joint.	8.0	Requires precise force-controlled pressing along a linear joint, uniform embedding of tape into wet compound, and smooth tool manipulation over a vertical surface. Current humanoids lack the fine compliant control and surface-tracking needed for acceptable finish quality.
