task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
12684	51-9196.00	Stamp products with information such as dates, using hand stamps or automatic stamping devices.	manipulation	1.0	One instance = stamping a single product. A competent worker inks and presses a stamp onto one item in roughly 30–60 seconds.	42.0	Pick-and-place and pressing motions are within robot capability, but aligning a stamp precisely, managing ink consistency, and handling varied product surfaces/orientations challenge current dexterity and perception. Automatic stamping devices would be easier to trigger than hand stamps.
13262	43-9051.00	Place incoming or outgoing letters or packages into sacks or bins based on destination or type, and place identifying tags on sacks or bins.	manipulation	1.5	One instance = sorting and tagging one sack/bin of mail. A worker reads labels, places items, and attaches a tag in ~1–2 minutes.	35.0	Reading address labels (OCR/vision) is feasible, pick-and-place of varied parcels/letters is moderately capable, but attaching physical ID tags and handling irregular, floppy mail items reliably remains challenging for current humanoids.
14097	51-6042.00	Collect shoe parts from conveyer belts or racks and place them in machinery such as ovens or on molds for dressing, returning them to conveyers or racks to send them to the next work station.	assembly	1.5	One instance = collecting a set of shoe parts from a conveyor/rack, placing them in a machine or on a mold, then returning them to the conveyor/rack. A trained worker repeats this continuously; ~1–2 min per cycle.	28.0	Structured conveyor pick-and-place is within robot reach, but shoe parts vary in shape, flexibility, and orientation; precise mold dressing and oven loading require fine dexterity and reliable perception of soft/irregular parts, still challenging for 2026 humanoids.
19312	29-9093.00	Pass instruments or supplies to surgeon during procedure.	caregiving	1.5	One instance = passing a single instrument/supply to the surgeon. A scrub tech anticipates needs and hands off an item in ~1–2 minutes on average.	3.0	Requires sterile field compliance, precise dexterous grip of delicate surgical instruments, real-time surgeon intent prediction, and fault-free reliability in a safety-critical OR environment — all far beyond 2026 frontier robots.
3215	53-7064.00	Remove completed or defective products or materials, placing them on moving equipment, such as conveyors, or in specified areas, such as loading docks.	manipulation	1.5	One instance = removing a single product/item and placing it on a conveyor or in a designated area. A competent worker does this in ~1–2 minutes.	45.0	Pick-and-place on conveyors or loading docks is within current humanoid capability for regular-shaped items, but varied object shapes, defective/irregular items, and unstructured placement zones reduce reliability significantly.
12644	51-9195.04	Spray or swab molds with oil solutions to prevent adhesion of glass.	manipulation	2.0	One instance = applying oil solution to one mold. A skilled worker sprays or swabs a single mold in ~1–3 minutes.	28.0	Requires navigating a hot industrial environment, holding a spray/swab tool, and achieving full even coverage of complex mold geometry. Uneven application is a quality failure; dexterity, tool-use generalization, and thermal-environment safety all limit current robots.
3211	53-7064.00	Mark and label containers, container tags, or products, using marking tools.	manipulation	2.0	One instance = marking/labeling a single container or product. A competent worker picks up a marker or applies a label in roughly 1–3 minutes including reading and placement.	30.0	Requires fine dexterity to hold a marking tool or peel-and-place a label accurately, plus reading/writing content correctly. Current humanoids struggle with precise pen control, label alignment, and generalizing across varied container shapes.
11917	51-3011.00	Combine measured ingredients in bowls of mixing, blending, or cooking machinery.	food prep	3.0	One instance = combining a set of pre-measured ingredients into a mixing bowl or machine; a competent worker pours/scoops and loads in ~2–4 minutes.	25.0	Requires pouring liquids, scooping powders, and loading varied containers into machinery — challenging for fluid handling, precise pouring, and operating appliance controls. Dexterity and perception gaps lower success significantly.
11965	51-9162.00	Enter coordinates of hole locations into program memories by depressing pedals or buttons of programmers.	assembly	3.0	One instance = entering coordinates for a single hole location into a programmer. A competent operator depresses pedals/buttons in a quick, practiced sequence taking ~2–4 minutes per hole.	15.0	Requires precise button/pedal actuation on specific industrial programmer interfaces, fine dexterity for small controls, and understanding of machine state feedback. Current humanoids lack reliable fine-finger control and interface generalization for arbitrary industrial programmers.
12162	51-6031.00	Examine and measure finished articles to verify conformance to standards, using rulers.	inspection	3.0	One instance = inspecting a single finished article with a ruler; a competent worker measures key dimensions and checks conformance in ~3 minutes.	25.0	Robot must grasp a ruler, align it precisely, read measurements visually, and judge conformance. Dexterous tool-use and fine visual measurement reading remain unreliable; perception and manipulation accuracy needed are at limits of 2026 capability.
12518	51-9124.00	Remove materials, parts, or workpieces from painting or coating machines, using hand tools.	manipulation	3.0	One instance = removing one batch of parts from a coating machine using hand tools; a skilled worker takes ~2–4 minutes to unclamp, unhook, and clear the workpiece safely.	25.0	Requires tool use (hand tools), varied part geometries, wet/coated surfaces (slippery, delicate), and navigating machine interiors. Current humanoids lack reliable dexterous tool manipulation and generalization across fixture types.
13541	47-2082.00	Select the correct sealing compound or tape.	inspection	3.0	One instance = selecting the correct sealing compound or tape for a specific joint/application. A competent worker reads specs, identifies the fitting, and picks the right product in ~3 minutes.	10.0	Requires reading labels, understanding material compatibility specs, and contextual judgment about pipe material/pressure/temperature. Current robots lack the semantic reasoning and fine-grained product identification needed for reliable autonomous selection.
13617	47-3014.00	Supply or hold tools and materials.	manipulation	3.0	One instance = retrieving and handing off a single tool or material to a worker. A competent human locates, picks up, and delivers in ~3 minutes.	45.0	Robots can pick and place common objects at ~70–90%, but identifying the correct tool among clutter, navigating to a worker, and safely handing it off reduces reliability. Unstructured environments and grasp variability are key limitations.
14205	51-6064.00	Remove spindles from machines and bobbins from spindles.	manipulation	3.0	One instance = removing one spindle from a machine and its bobbin from the spindle. A skilled textile worker can do this in ~2–4 minutes.	20.0	Requires precise grasping of narrow cylindrical spindles and small bobbins, often with tight tolerances and varied orientations. Current humanoids lack the fine dexterity and reliable force control for consistent success in textile machinery contexts.
14217	51-6091.00	Open cabinet doors to cut multifilament threadlines away from guides, using scissors.	manipulation	3.0	One instance = opening a cabinet, locating threadlines across guides, and cutting them free. A skilled textile worker completes this in ~2–4 minutes.	8.0	Requires opening a cabinet door (moderate), then identifying and cutting fine multifilament threadlines from small guides with scissors — extremely fine dexterity, precise perception of thin fibers, and tool-use in a confined space far exceeds 2026 robot capability.
14218	51-6091.00	Press metering-pump buttons and turn valves to stop flow of polymers.	manipulation	3.0	One instance = stopping flow on a single metering pump: locate pump/valves, press stop button, turn shutoff valve. A trained operator completes this in ~2–4 minutes.	28.0	Pressing industrial buttons is feasible (~60–70%), but turning industrial valves (especially handwheels or tight quarter-turn valves) requires significant torque, precise grip, and generalization to varied valve types — challenging for current humanoids. Navigation to correct pump adds further uncertainty.
14348	51-9022.00	Clean brass particles from files by drawing file cards through file grooves.	manipulation	3.0	One instance = cleaning one file with a file card. A competent worker draws the card through the grooves several times, taking ~2–4 minutes per file.	12.0	Requires precise alignment of a narrow tool into fine file grooves, firm controlled dragging force, and tactile feedback to confirm cleaning. Current robots lack the fine dexterity and force-sensitive groove-tracking needed for reliable success.
15122	51-9195.05	Move pieces from wheels so that they can dry.	manipulation	3.0	One instance = removing freshly thrown/trimmed pottery pieces from a potter's wheel and placing them on a drying rack or board. Typically takes 2–4 minutes per wheel/batch.	8.0	Wet clay pieces are extremely fragile, irregular in shape, and easily deformed. Grasping without crushing or distorting requires highly sensitive, compliant manipulation that current robots lack. Perception of wet clay geometry is also poor.
18730	35-2021.00	Take and record temperature of food and food storage areas, such as refrigerators and freezers.	inspection	3.0	One instance = taking and logging the temperature of a single food item or storage unit (e.g., one refrigerator). Involves inserting a probe or reading a thermometer and recording the value.	20.0	Robot must navigate to unit, open door, insert or point thermometer correctly, read display/probe, and log result. Door opening (~50%), probe handling and precise insertion into food are dexterous challenges; reliable logging adds further complexity.
19315	29-9093.00	Verify the identity of patient or operative site.	caregiving	3.0	One instance = verifying one patient's identity and/or operative site before a procedure. Involves checking wristband, verbal confirmation, chart review, and site marking — typically 2–5 minutes.	8.0	Requires reading wristbands/charts, verbal patient interaction, cross-referencing records, and judgment about site marking accuracy. Current robots lack reliable NLP dialogue, medical record integration, and the clinical judgment needed for safe autonomous verification.
19441	51-5113.00	Compress sewed or glued signatures, using hand presses or smashing machines.	assembly	3.0	One instance = compressing one batch of signatures. A skilled bookbinder loads, presses, and removes one set in ~3 minutes.	25.0	Requires precise alignment of delicate paper signatures, operating a specialized press mechanism, and judging compression quality. Manipulation of thin, flexible paper stacks and tool operation in a niche bookbinding context is challenging for current humanoids.
19466	51-9151.00	Examine developed prints for defects, such as broken lines, spots, or blurs.	inspection	3.0	One instance = inspecting a single developed print. A competent worker visually scans for defects (broken lines, spots, blurs) in roughly 2–4 minutes.	30.0	Vision-based defect detection is feasible with cameras and ML, but a general-purpose humanoid lacks specialized optical inspection hardware, fine-grained print defect models, and reliable handling of delicate prints without damage.
22042	17-3026.00	Select cleaning materials, tools, or equipment.	cleaning	3.0	One instance = selecting appropriate cleaning supplies/tools for a single cleaning job. A competent worker quickly identifies and gathers needed items in ~3 minutes.	30.0	Requires recognizing varied cleaning products, reading labels, and matching tools to task context. Object recognition and retrieval from storage are feasible, but semantic understanding of product selection and generalization to novel items remain challenging.
2285	35-3031.00	Clean tables or counters after patrons have finished dining.	cleaning	3.0	One instance = clearing and wiping down one table/counter after diners leave. A competent busser typically takes 2–4 minutes per table.	25.0	Requires navigating a crowded restaurant floor, grasping varied dishes/glasses, stacking items safely, then wiping surfaces. Clutter variability, fragile items, and tight spaces challenge current humanoids significantly.
8560	51-9193.00	Activate mechanical rakes to regulate flow of ice from storage bins to vats.	manipulation	3.0	One instance = activating rakes for a single flow-regulation cycle; a worker operates controls/switches to start/adjust mechanical rakes, taking ~2–4 minutes.	30.0	Task involves operating industrial control panels/switches in a cold, wet environment. Humanoids can press buttons but struggle with non-standardized industrial controls, slippery conditions, and confirming correct ice flow feedback reliably.
