task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
2275	35-3031.00	Check patrons' identification to ensure that they meet minimum age requirements for consumption of alcoholic beverages.	inspection	0.5	One instance = checking a single patron's ID. A competent human takes ~20–30 seconds to examine, read, and verify an ID card.	20.0	Requires reading/authenticating varied ID documents (glare, holograms, worn cards), judging authenticity, and social interaction. Vision-based OCR on IDs is feasible, but hologram/forgery detection, varied lighting, and confident autonomous social enforcement remain very challenging for current humanoids.
5109	39-3031.00	Distribute programs to patrons.	manipulation	0.5	One instance = handing a single program booklet to one patron. A competent human picks it up and hands it over in ~30 seconds.	30.0	Requires navigating a crowd, detecting an approaching patron, grasping a thin paper booklet, and handing it over smoothly. Thin-object grasping, human interaction, and dynamic crowd navigation remain challenging for 2026 humanoids.
8008	39-3012.00	Collect cards or tickets from players.	manipulation	0.5	One instance = collecting a card/ticket from one player. A competent human reaches out, takes the item, and sets it aside in ~30 seconds.	35.0	Grasping thin, flat cards/tickets is dexterity-challenging; item may be held at varying angles by the player. Perception and approach are feasible indoors, but reliable grip on a flimsy card without dropping or tearing it remains unreliable for 2026 humanoids.
14128	51-6061.00	Examine and feel products to identify defects and variations from coloring and other processing standards.	inspection	1.5	One instance = inspecting a single product unit by hand and eye. A trained inspector typically spends 30–90 seconds examining, touching, and judging one item against color/processing standards.	22.0	"Vision-based defect detection is mature, but combining tactile ""feel"" (texture, firmness, surface anomalies) with nuanced color judgment across varied product types strains current robot tactile sensing and generalization. High false-positive/negative risk on subtle defects."
23113	35-3023.00	Wrap menu items such as sandwiches, hot entrees, and desserts for serving or for takeout.	food prep	1.5	One instance = wrapping a single menu item (sandwich, entree, or dessert). A skilled worker takes ~1–2 minutes per item including grabbing wrap material, folding, and securing.	18.0	Requires dexterous bimanual manipulation of flexible, deformable wrapping materials (foil, paper, plastic wrap) around irregularly shaped food items. Folding and securing edges neatly is a major challenge for current robots. Perception of soft/deformable materials and precise in-hand re-grasping remain weak spots for 2026 frontier humanoids.
12433	51-9032.00	Position stock along cutting lines, or against stops on beds of scoring or cutting machines.	manipulation	2.0	One instance = positioning a single piece of stock against a stop or cutting line on a machine bed. A skilled worker does this in ~1–3 minutes including alignment checks.	35.0	Requires precise planar alignment of flat stock against stops or marked lines. Perception of cutting lines is challenging; fine positional accuracy needed. Flat/heavy stock handling and confined machine-bed environments limit current humanoid dexterity and generalization.
15342	33-9093.00	Inspect checked baggage for signs of tampering.	inspection	2.0	One instance = inspecting one piece of checked baggage. A trained agent visually and physically checks a bag for tampering signs in ~1–3 minutes.	18.0	Requires multi-modal perception (visual anomaly detection, tactile checks, smell), handling irregular bag shapes/materials, and nuanced judgment on subtle tampering signs. Current robots lack reliable generalization for this unstructured security inspection task.
2215	35-2021.00	Distribute food to waiters and waitresses to serve to customers.	food prep	2.0	One instance = plating and handing off a single order to a waiter/waitress at the pass. A skilled expeditor does this in ~1–3 minutes per order.	12.0	Requires navigating a busy kitchen, identifying correct plates, reading tickets, coordinating with multiple staff, and safely transferring hot/unstable dishes — too dynamic and socially complex for current robots.
11180	35-9011.00	Garnish foods and position them on tables to make them visible and accessible.	food prep	3.0	One instance = garnishing and positioning a single dish/plate. A skilled food worker applies garnish and places the item on a table in ~2–4 minutes.	8.0	Requires fine dexterous manipulation (delicate garnish placement), aesthetic judgment, and precise positioning. Current humanoids lack the fine motor control, visual-artistic reasoning, and gentle touch needed for acceptable food presentation quality.
11336	43-5051.00	Receive letters and parcels, and place mail into bags.	manipulation	3.0	One instance = receiving and sorting a single batch of letters/parcels into bags; a competent mail handler does this in ~2–4 minutes per batch.	35.0	Pick-and-place of varied mail items (envelopes, parcels, irregular shapes) into bags is partially within reach, but handling deformable envelopes, opening/holding bags, and reliably grasping mixed items remains challenging for current humanoids.
12046	51-4062.00	Mark identification numbers or symbols onto patterns or templates.	manipulation	3.0	One instance = marking an ID number/symbol on a single pattern or template using a marker, stamp, or scribe. A competent worker completes this in ~3 minutes.	20.0	Requires precise fine-motor writing or stamping on varied surfaces/orientations. Current humanoids lack reliable fine dexterity for legible marking; tool grasping and controlled pressure application remain weak points.
12288	51-7042.00	Secure woodstock against a guide or in a holding device, place woodstock on a conveyor, or dump woodstock in a hopper to feed woodstock into machines.	manipulation	3.0	One instance = positioning/securing a single piece of woodstock into a guide, conveyor, or hopper. A skilled worker typically takes 1–5 minutes depending on part size and fixture type.	35.0	Grasping and placing rigid stock pieces is feasible, but securing against guides, aligning to conveyors, or dumping into hoppers requires precise positioning, varied workpiece sizes, and fixture interaction — challenging for generalist humanoids in unstructured shop environments.
12401	51-9023.00	Dump or pour specified amounts of materials into machinery or equipment.	manipulation	3.0	One instance = retrieving a specified material and pouring/dumping the correct amount into a machine/hopper. A competent worker typically completes this in ~3 minutes including measurement and positioning.	30.0	Requires grasping varied containers, measuring/controlling pour quantity, and accurately targeting machinery openings. Perception of fill levels and liquid/granular flow control are challenging; spill risk is high. Improving but unreliable in unstructured settings.
12621	51-9195.03	Move fingers over surfaces of carvings to ensure smoothness of finish.	inspection	3.0	One instance = inspecting one carved piece by touch. A skilled craftsperson runs fingers over all surfaces in ~2–4 minutes to detect rough spots or tool marks.	6.0	Requires fine tactile/haptic perception across irregular 3D surfaces — far beyond current robot fingertip sensor fidelity. Generalization to varied carving geometries is unsolved. Robots lack the nuanced touch discrimination needed for quality acceptance.
12705	51-9198.00	Turn valves to regulate flow of liquids or air, to reverse machines, to start pumps, or to regulate equipment.	manipulation	3.0	One instance = locating and turning a valve to achieve a desired flow/state change. A competent worker typically completes this in ~3 minutes including walking to and adjusting the valve.	30.0	Robots can navigate to valves and attempt turning, but varied valve types (handwheel, ball, gate, lever), torque requirements, tight spaces, and confirming flow outcome remain challenging for current humanoids. Success is inconsistent without task-specific tuning.
13636	47-4031.00	Insert metal tubing through rail supports.	assembly	3.0	One instance = threading one length of metal tubing through a set of rail supports. A competent worker does this in ~2–4 minutes depending on tube length and number of supports.	28.0	Requires precise bimanual alignment of a long rigid tube through multiple constrained holes/brackets. Challenges include coordinating two arms over a long span, applying axial force while maintaining alignment, and handling varying support geometries. Current humanoids lack the bimanual coordination and fine positional accuracy for this reliably.
14589	53-7063.00	Weigh or measure materials or products to ensure conformance to specifications.	inspection	3.0	One instance = weighing/measuring a single material or product batch, including reading the instrument and recording/comparing to spec. Typically 2–5 minutes.	35.0	Robots can pick and place items onto scales and read digital displays via vision, but handling diverse containers, operating calipers/tape measures, and reliably recording/comparing results to specs across varied environments remains inconsistent with 2026 hardware.
20305	51-9061.00	Stack or arrange tested products for further processing, shipping, or packaging.	manipulation	3.0	One instance = stacking/arranging a single batch of tested products (e.g., a tray or small lot). A competent worker handles this quickly in a structured production environment.	55.0	Pick-and-place of uniform products on flat surfaces is well within 2026 robot capability. Variability in product shape, size, orientation, and stacking precision (without fixed jigs) reduces reliability. Perception and grasp planning handle moderate variation but struggle with edge cases.
2104	33-3012.00	Inspect mail for the presence of contraband.	inspection	3.0	One instance = inspecting one piece of mail (envelope or package). A trained officer physically examines, probes, or scans one item, typically taking 1–5 minutes.	10.0	Requires specialized scanning tools (X-ray, chemical sniffers), fine manipulation of mail items, and nuanced judgment about suspicious contents. Humanoids lack integrated forensic sensor suites and reliable anomaly recognition for contraband; current robots are far from autonomous deployment in this domain.
3137	51-9111.00	Stack finished packaged items, or wrap protective material around each item, and pack the items in cartons or containers.	assembly	3.0	One instance = packing one carton with items (wrapping + stacking + sealing). A skilled warehouse packer completes this in ~3 minutes.	25.0	Robots can pick and place regular items (~70–80%) but wrapping protective material requires high dexterity and adaptability. Varied item shapes, flexible materials, and tight packing configurations push success down significantly for current humanoids.
4476	39-3093.00	Provide towels and sheets to clients in public baths, steam rooms, and restrooms.	caregiving	3.0	One instance = handing/delivering towels and sheets to one client. A competent attendant retrieves folded linens and presents them to the client in ~2–4 minutes.	20.0	Navigating wet, slippery, crowded spa environments is hazardous for robots. Picking and handing folded soft linens is partially feasible, but social interaction, safe navigation in humid spaces, and client-specific service reduce success significantly.
4517	39-4021.00	Direct or escort mourners to parlors or chapels in which wakes or funerals are being held.	locomotion	3.0	One instance = guiding one mourner or group from entrance to the correct parlor/chapel. A competent funeral home attendant completes this in ~2–4 minutes.	20.0	Robot can navigate indoors and gesture, but lacks social sensitivity, reliable natural-language interaction, and the nuanced human judgment needed to handle grieving individuals with appropriate decorum and adaptability in an unstructured social setting.
8388	49-9011.00	Wind large springs with upward motion of arm.	assembly	3.0	One instance = winding a single large spring. A skilled worker uses rhythmic upward arm strokes to coil the spring wire, taking roughly 2–4 minutes per spring.	18.0	Requires sustained coordinated arm force, precise grip on stiff spring wire, and rhythmic upward motion against high resistance. Current humanoids lack the torque consistency, grip strength, and force-feedback fidelity for reliable spring winding.
21005	35-2021.00	Assemble meal trays with foods in accordance with patients' diets.	food prep	4.0	One instance = assembling one patient meal tray. A trained dietary aide typically takes 3–5 minutes to read the diet order, select correct foods/portions, and arrange them on a tray.	8.0	Requires reading diet orders, identifying correct food items, portioning, and precise placement—combining language understanding, fine dexterous manipulation of varied soft/liquid foods, and dietary compliance logic. Far beyond current general-purpose robot capability in an unstructured kitchen/cafeteria setting.
23105	35-3023.00	Serve food, beverages, or desserts to customers in such settings as take-out counters of restaurants or lunchrooms, business or industrial establishments, hotel rooms, and cars.	food prep	4.0	One instance = serving one customer order (take-out counter, lunchroom, etc.). Competent worker takes ~2–6 min: greeting, retrieving/packaging items, handing off, processing payment.	18.0	Requires navigating varied environments (hotel rooms, cars, counters), handling diverse containers, social interaction, and payment processing. Perception and dexterity for unstructured settings remain weak; car/room delivery adds mobility/generalization challenges.
